state,zip,poverty_rate,median_income_household,percent_lower_education,percent_higher_education,percent_snap_participation,per_capita_income
MA,02451,0.08078542908713011,119509.0,0.2712003583159152,0.7287996416840848,0.07873806998939555,64400.0
MA,01754,0.08217505634861007,119549.0,0.1672838717915975,0.8327161282084025,0.05735073828375776,66632.0
MA,02767,0.09404965191120451,119550.0,0.3135085292761641,0.6864914707238359,0.11364019558253245,53355.0
MA,02367,0.08333333333333333,119750.0,0.39514978601997147,0.6048502139800286,0.12213740458015267,53289.0
MA,02351,0.054642539305843965,119787.0,0.34846746435010656,0.6515325356498934,0.10531220876048462,52259.0
MA,01507,0.03765026083012021,119809.0,0.3647432503970355,0.6352567496029645,0.10327506530038176,53336.0
MA,02738,0.053595527279737806,120227.0,0.3486381322957198,0.6513618677042802,0.05786802030456853,78765.0
MA,02141,0.14826233183856502,120542.0,0.1399304576637534,0.8600695423362466,0.09346052813493709,74899.0
MA,02019,0.05123205105477752,120966.0,0.32897244844914225,0.6710275515508577,0.11146446175862618,51448.0
MA,02632,0.06685825374017412,121295.0,0.2477914242620125,0.7522085757379875,0.057840885362288576,57480.0
MA,01464,0.020987239758226996,121875.0,0.3994732221246708,0.6005267778753293,0.08610648918469219,48541.0
MA,02138,0.12039145060994258,122040.0,0.06163963174046471,0.9383603682595353,0.047053866142285274,74990.0
MA,01503,0.05025699600228441,122411.0,0.28816029143898,0.7118397085610201,0.0718728403593642,64003.0
MA,01569,0.032392145621327216,122458.0,0.31158849034292474,0.6884115096570753,0.06551343393448657,53336.0
MA,02472,0.06449227969403133,123383.0,0.18636201356658336,0.8136379864334167,0.0656596794081381,72808.0
MA,02779,0.01274262853756112,123877.0,0.3441278950604632,0.6558721049395367,0.08750544188071398,53173.0
MA,02026,0.04075607856000656,124375.0,0.26350325379609546,0.7364967462039046,0.09410507914926677,67595.0
MA,01938,0.0659965034965035,124405.0,0.1958692911858819,0.8041307088141181,0.06426958485322216,72497.0
MA,02379,0.06324216144096063,124483.0,0.31739518287243534,0.6826048171275647,0.08379694019471488,52738.0
MA,02139,0.1230303903211868,124648.0,0.12503753753753755,0.8749624624624625,0.13385630681110697,70682.0
MA,01095,0.03848567245346162,124682.0,0.2392138063279003,0.7607861936720998,0.09354658731634741,57650.0
MA,02356,0.07887780335976806,124719.0,0.2516199890170236,0.7483800109829764,0.09104414261460102,65937.0
MA,01505,0.08041237113402062,124732.0,0.15480844409695074,0.8451915559030493,0.039337474120082816,71483.0
MA,02184,0.05075251930375605,125305.0,0.3018861094015856,0.6981138905984143,0.11207197154613292,57041.0
MA,02050,0.07885457434029527,125436.0,0.20601063829787233,0.7939893617021276,0.08460038986354776,62893.0
MA,02554,0.04321167883211679,125524.0,0.2030531363147079,0.7969468636852921,0.08477332791217727,73285.0
MA,01073,0.01843168957154406,125534.0,0.26693227091633465,0.7330677290836654,0.10592532467532467,59434.0
MA,01259,0.03202328966521106,125795.0,0.26908396946564883,0.7309160305343512,0.02464788732394366,56232.0
MA,02464,0.04664289958407605,125846.0,0.0893814801573114,0.9106185198426886,0.04229390681003584,73575.0
MA,01718,0.0027137042062415195,125972.0,0.289904570567554,0.710095429432446,0.09104414261460102,64478.0
MA,02143,0.08612970959946119,126102.0,0.16044300695873762,0.8395569930412624,0.09891196834817013,77591.0
MA,02769,0.04764935168244372,126161.0,0.3306819386997561,0.669318061300244,0.024337712685763516,51692.0
MA,02347,0.04772687685072287,126182.0,0.30513261296660116,0.6948673870333988,0.11763302314483416,52254.0
MA,01876,0.03137718261782854,126795.0,0.35713980789754535,0.6428601921024546,0.07220155563070679,55480.0
MA,01463,0.0630895716140199,126824.0,0.26578978551961135,0.7342102144803887,0.06894956038870893,56602.0
