state_x,zip,poverty_rate,median_income_household,percent_lower_education,percent_higher_education,percent_snap_participation,per_capita_income,num_food_access,num_grocery,num_food_pantries,num_fast_food,num_restaurants,cluster,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state_y,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
MA,02125,0.2351611789447251,71810.0,0.3868880374627501,0.6131119625372499,0.2788720110473144,45158.0,21.0,1.0,0.0,6.0,11.0,1,STANDARD,0,Dorchester,"Boston, Uphams Corner",,MA,Suffolk County,America/New_York,"617, 857",,US,42.32,-71.06,27270
MA,02150,0.2140788765599774,72122.0,0.6168133308369219,0.3831866691630781,0.2578021002810235,31526.0,18.0,0.0,0.0,6.0,10.0,1,STANDARD,0,Chelsea,,,MA,Suffolk County,America/New_York,"339, 617, 781, 857",,US,42.39,-71.03,32310
MA,01843,0.1520967856382601,72163.0,0.5557018265591575,0.4442981734408425,0.3500424008291717,35107.0,12.0,0.0,0.0,6.0,6.0,1,STANDARD,0,Lawrence,,"S Lawrence, South Lawrence",MA,Essex County,America/New_York,"351, 978",,US,42.7,-71.16,25440
MA,02301,0.1354630896174381,72727.0,0.5218275271273558,0.4781724728726442,0.3501461988304093,35370.0,25.0,4.0,0.0,13.0,6.0,1,STANDARD,0,Brockton,,,MA,Plymouth County,America/New_York,"339, 508, 774, 781",,US,42.08,-71.02,58790
MA,02745,0.1196674776966747,73154.0,0.5358241257546418,0.4641758742453582,0.2208661417322834,36353.0,3.0,1.0,0.0,1.0,0.0,1,STANDARD,0,New Bedford,Acushnet,,MA,Bristol County,America/New_York,"508, 774",,US,41.7,-70.95,21790
MA,02780,0.1299636874780367,75054.0,0.4933448527228057,0.5066551472771943,0.2837863167760075,38044.0,11.0,0.0,0.0,4.0,6.0,1,STANDARD,0,Taunton,,,MA,Bristol County,America/New_York,"508, 774",,US,41.9,-71.09,46120
MA,01074,0.4769452449567723,76859.0,0.7334669338677354,0.2665330661322645,0.5670995670995671,31189.0,0.0,0.0,0.0,0.0,0.0,1,PO BOX,0,South Barre,,,MA,Worcester County,America/New_York,"351, 978",,US,42.38,-72.1,655
MA,01852,0.1415518773605865,77058.0,0.4281291121603839,0.571870887839616,0.2221621986629752,39409.0,23.0,1.0,0.0,4.0,15.0,1,STANDARD,0,Lowell,,,MA,Middlesex County,America/New_York,"351, 978",,US,42.63,-71.3,29990
MA,01702,0.1468918882220351,78784.0,0.4368518805138523,0.5631481194861476,0.1813842482100238,43618.0,15.0,2.0,0.0,2.0,10.0,1,STANDARD,0,Framingham,,,MA,Middlesex County,America/New_York,"508, 774",,US,42.28,-71.44,29090
MA,02124,0.1764426328392037,79168.0,0.4192146515598324,0.5807853484401676,0.329864411867714,39879.0,5.0,0.0,0.0,2.0,2.0,1,STANDARD,0,Dorchester Center,"Boston, Dorchester, Dorchestr Ctr",,MA,Suffolk County,America/New_York,"617, 857",,US,42.29,-71.07,42830
MA,02149,0.1438670981305521,79658.0,0.5509748819422313,0.4490251180577686,0.2033368091762252,35941.0,37.0,2.0,0.0,8.0,25.0,1,STANDARD,0,Everett,,,MA,Middlesex County,America/New_York,"339, 617, 781, 857",,US,42.4,-71.05,39480
MA,01830,0.1442102860620815,79784.0,0.4223058317656544,0.5776941682343456,0.242743312464428,41855.0,25.0,2.0,1.0,5.0,14.0,1,STANDARD,0,Haverhill,,,MA,Essex County,America/New_York,"351, 603, 978",,US,42.78,-71.08,23250
MA,02151,0.1226165298339689,80948.0,0.5315632867933165,0.4684367132066834,0.1919825343738387,38785.0,31.0,2.0,0.0,9.0,15.0,1,STANDARD,0,Revere,,"Beachmont, Revere Beach",MA,Suffolk County,America/New_York,"339, 617, 781, 857",,US,42.41,-70.99,51810
MA,01832,0.106889663546277,81141.0,0.4290996085254458,0.5709003914745542,0.2590723850184359,40105.0,9.0,1.0,0.0,1.0,6.0,1,STANDARD,0,Haverhill,,,MA,Essex County,America/New_York,"351, 603, 978",,US,42.79,-71.13,22720
MA,02122,0.1480829100442405,82945.0,0.4384945986758043,0.5615054013241956,0.2340866906867562,45583.0,13.0,0.0,0.0,5.0,6.0,1,STANDARD,0,Dorchester,Boston,,MA,Suffolk County,America/New_York,"617, 857",,US,42.29,-71.04,20630
MA,01905,0.1339897420538355,84341.0,0.5216433092224232,0.4783566907775768,0.2958586416344561,34371.0,15.0,3.0,0.0,1.0,11.0,1,STANDARD,0,Lynn,West Lynn,,MA,Essex County,America/New_York,"339, 781",,US,42.47,-70.98,24980
MA,02302,0.1157494178451752,87560.0,0.5243748215232734,0.4756251784767266,0.2792617775619233,35814.0,7.0,0.0,0.0,3.0,4.0,1,STANDARD,0,Brockton,,,MA,Plymouth County,America/New_York,"339, 508, 774, 781",,US,42.09,-71.0,32830
MA,01851,0.160126820693119,87962.0,0.496005027381273,0.5039949726187269,0.2937019697906545,39517.0,12.0,1.0,0.0,1.0,7.0,1,STANDARD,0,Lowell,,,MA,Middlesex County,America/New_York,"351, 978",,US,42.63,-71.32,28690
MA,01083,0.1209137455691217,92558.0,0.4226190476190476,0.5773809523809523,0.3420577617328519,39722.0,0.0,0.0,0.0,0.0,0.0,1,PO BOX,0,Warren,,,MA,Worcester County,America/New_York,"413, 508, 774",,US,42.21,-72.19,3037
